SAMPLEID	VERDY3	VERDY6	VERDY24	VERDY4	NT1	NT2	NT3	NT4	NT5	VERDY5	VERDY7	VERDY2	VERDY8	VERDY21	VERDY33	VERDY34	VERDY35	VERDY36	VERDY38	VERDY39	VERDY51	VERDY40	VERDY49	VERDY53	VERDY20	VERDY37	VERDY65	VERDY66	VERDY9	VERDY17	VERDY54	VERDY19	VERDY18	VERDY52	VERDY23	VERDY55
"Bacteria; Firmicutes; Bacilli; Mycoplasmatales; Mycoplasmataceae; Ureaplasma; NA"	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Halomonadaceae; Halomonas; NA"	0	0	0	41	0	0	0	0	7637	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	449	0	0	0	0	0
"Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Rhodocyclaceae; Dechloromonas; agitata"	0	4	0	35	0	0	5	22	0	0	0	0	0	0	0	0	0	284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Alcaligenaceae; Paenalcaligenes; hermetiae"	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Hydrogenophilaceae; Hydrogenophilus; NA"	0	0	2111	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1600	6	0	0	0	0	0	0	0
"Bacteria; Proteobacteria; NA; NA; NA; NA; NA"	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Bacteria; Firmicutes; Bacilli; Mycoplasmatales; Mycoplasmataceae; Ureaplasma; NA"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia-Shigella; NA"	0	0	4385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0
"Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; junii"	0	0	1175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0
"Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Comamonadaceae; Aquabacterium; NA"	0	0	1108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0
